Time,Teacher-x,Teacher-y,Teacher-z,Student-x,Student-y,Student-z,Difference-x,Difference-y,Difference-z,Teacher Intensity,Student Intensity,Angle Teacher,Angle Student,Ball-x,Ball-y,Target-x,Target-y,Score,Target Duration,Training Mode,Is Testing Boolean
0.017,0,0,0,0.0,-0.001,-0.0,0,0,0,0,0,0,0,301,301,300,300,0,0,1,True
0.027,0,0,0,0.001,-0.001,-0.0,0,0,0,0,0,0,0,301,301,300,300,0,0,1,True
0.042,0,0,0,0.001,-0.001,-0.0,0,0,0,0,0,0,0,301,301,300,300,0,0,1,True
0.052,0,0,0,0.0,-0.001,-0.0,0,0,0,0,0,0,0,301,301,300,300,0,0,1,True
0.066,0,0,0,0.0,-0.001,-0.0,0,0,0,0,0,0,0,301,301,300,300,0,0,1,True
0.079,0,0,0,0.0,-0.001,-0.0,0,0,0,0,0,0,0,301,301,300,300,0,0,1,True
0.091,0,0,0,0.0,-0.001,-0.0,0,0,0,0,0,0,0,301,301,300,300,0,0,1,True
0.102,0,0,0,0.0,-0.001,-0.0,0,0,0,0,0,0,0,301,301,300,300,0,0,1,True
0.114,0,0,0,0.0,-0.001,-0.0,0,0,0,0,0,0,0,301,301,300,300,0,0,1,True
0.125,0,0,0,0.0,-0.001,-0.0,0,0,0,0,0,0,0,301,301,300,300,0,0,1,True
0.138,0,0,0,0.0,-0.001,-0.0,0,0,0,0,0,0,0,301,301,300,300,0,0,1,True
0.15,0,0,0,0.0,-0.001,-0.0,0,0,0,0,0,0,0,301,301,300,300,0,0,1,True
0.163,0,0,0,0.0,-0.001,-0.0,0,0,0,0,0,0,0,301,301,300,300,0,0,1,True
0.174,0,0,0,0.0,-0.001,-0.0,0,0,0,0,0,0,0,301,301,300,300,0,0,1,True
0.188,0,0,0,0.0,-0.001,-0.0,0,0,0,0,0,0,0,301,301,300,300,0,0,1,True
0.2,0,0,0,0.0,-0.001,-0.0,0,0,0,0,0,0,0,301,301,300,300,0,0,1,True
0.209,0,0,0,0.0,-0.001,-0.0,0,0,0,0,0,0,0,301,301,300,300,0,0,1,True
0.221,0,0,0,0.0,-0.001,-0.0,0,0,0,0,0,0,0,301,301,300,300,0,0,1,True
0.233,0,0,0,0.0,-0.001,-0.0,0,0,0,0,0,0,0,301,301,300,300,0,0,1,True
0.247,0,0,0,0.0,-0.001,-0.0,0,0,0,0,0,0,0,301,301,300,300,0,0,1,True
0.259,0,0,0,0.0,-0.001,-0.0,0,0,0,0,0,0,0,301,301,300,300,0,0,1,True
0.268,0,0,0,0.0,-0.001,-0.0,0,0,0,0,0,0,0,301,301,300,300,0,0,1,True
0.28,0,0,0,0.0,-0.001,-0.0,0,0,0,0,0,0,0,301,301,300,300,0,0,1,True
0.29,0,0,0,0.0,-0.001,-0.0,0,0,0,0,0,0,0,301,301,300,300,0,0,1,True
0.298,0,0,0,0.0,-0.001,-0.0,0,0,0,0,0,0,0,301,301,300,300,0,0,1,True
0.315,0,0,0,0.0,-0.001,-0.0,0,0,0,0,0,0,0,301,301,300,300,0,0,1,True
0.323,0,0,0,0.0,-0.001,-0.0,0,0,0,0,0,0,0,301,301,300,300,0,0,1,True
0.333,0,0,0,0.0,-0.001,-0.0,0,0,0,0,0,0,0,301,301,300,300,0,0,1,True
0.343,0,0,0,0.0,-0.001,-0.0,0,0,0,0,0,0,0,301,301,300,300,0,0,1,True
0.352,0,0,0,0.0,-0.001,-0.0,0,0,0,0,0,0,0,301,301,300,300,0,0,1,True
0.363,0,0,0,0.0,-0.001,-0.0,0,0,0,0,0,0,0,301,301,300,300,0,0,1,True
0.373,0,0,0,0.0,-0.001,-0.0,0,0,0,0,0,0,0,301,301,300,300,0,0,1,True
0.383,0,0,0,0.0,-0.001,-0.0,0,0,0,0,0,0,0,301,300,300,300,0,0,1,True
0.394,0,0,0,0.0,-0.001,-0.0,0,0,0,0,0,0,0,301,300,300,300,0,0,1,True
0.402,0,0,0,0.0,-0.001,-0.0,0,0,0,0,0,0,0,301,301,300,300,0,0,1,True
0.412,0,0,0,0.0,-0.001,-0.0,0,0,0,0,0,0,0,301,301,300,300,0,0,1,True
0.424,0,0,0,0.0,-0.001,-0.0,0,0,0,0,0,0,0,301,301,300,300,0,0,1,True
0.433,0,0,0,0.0,-0.001,-0.0,0,0,0,0,0,0,0,301,300,300,300,0,0,1,True
0.448,0,0,0,0.0,-0.001,-0.0,0,0,0,0,0,0,0,301,300,300,300,0,0,1,True
0.456,0,0,0,0.0,-0.0,-0.0,0,0,0,0,0,0,0,301,300,300,300,0,0,1,True
0.466,0,0,0,0.0,-0.0,-0.0,0,0,0,0,0,0,0,301,300,300,300,0,0,1,True
0.477,0,0,0,0.0,-0.0,-0.0,0,0,0,0,0,0,0,301,300,300,300,0,0,1,True
0.488,0,0,0,0.0,-0.0,-0.0,0,0,0,0,0,0,0,301,300,300,300,0,0,1,True
0.501,0,0,0,0.0,-0.0,-0.0,0,0,0,0,0,0,0,301,300,300,300,0,0,1,True
0.511,0,0,0,0.0,-0.0,-0.0,0,0,0,0,0,0,0,301,300,300,300,0,0,1,True
0.521,0,0,0,0.0,-0.0,-0.0,0,0,0,0,0,0,0,301,300,300,300,100,0.511,1,True
0.533,0,0,0,0.0,-0.0,-0.0,0,0,0,0,0,0,0,301,300,300,300,200,0.01,1,True
0.546,0,0,0,0.0,-0.0,-0.0,0,0,0,0,0,0,0,301,300,300,300,300,0.012,1,True
0.559,0,0,0,0.0,-0.0,-0.0,0,0,0,0,0,0,0,301,300,300,300,400,0.012,1,True
0.572,0,0,0,0.0,-0.0,-0.0,0,0,0,0,0,0,0,300,300,300,300,500,0.014,1,True
0.586,0,0,0,0.0,-0.0,-0.0,0,0,0,0,0,0,0,300,300,300,300,600,0.013,1,True
0.599,0,0,0,0.0,-0.0,-0.0,0,0,0,0,0,0,0,300,300,300,300,700,0.014,1,True
0.616,0,0,0,0.0,-0.0,-0.0,0,0,0,0,0,0,0,300,300,300,300,800,0.013,1,True
0.628,0,0,0,0.0,-0.0,-0.0,0,0,0,0,0,0,0,300,300,300,300,900,0.017,1,True
0.643,0,0,0,0.0,-0.0,-0.0,0,0,0,0,0,0,0,300,300,300,300,1000,0.013,1,True
0.66,0,0,0,0.0,-0.0,-0.0,0,0,0,0,0,0,0,300,300,300,300,1100,0.014,1,True
0.674,0,0,0,0.0,-0.0,-0.0,0,0,0,0,0,0,0,300,300,300,300,1200,0.017,1,True
0.686,0,0,0,0.0,-0.0,-0.0,0,0,0,0,0,0,0,300,300,300,300,1300,0.014,1,True
0.699,0,0,0,0.0,-0.0,-0.0,0,0,0,0,0,0,0,300,300,300,300,1400,0.012,1,True
0.712,0,0,0,0.0,-0.0,-0.0,0,0,0,0,0,0,0,300,300,300,300,1500,0.012,1,True
0.728,0,0,0,0.0,-0.0,-0.0,0,0,0,0,0,0,0,300,300,300,300,1600,0.013,1,True
0.743,0,0,0,0.0,-0.0,-0.0,0,0,0,0,0,0,0,300,300,300,300,1700,0.018,1,True
0.759,0,0,0,0.0,-0.0,-0.0,0,0,0,0,0,0,0,300,300,300,300,1800,0.013,1,True
0.773,0,0,0,0.0,-0.0,-0.0,0,0,0,0,0,0,0,300,300,300,300,1900,0.016,1,True
0.787,0,0,0,0.0,-0.0,-0.0,0,0,0,0,0,0,0,300,300,300,300,2000,0.014,1,True
0.803,0,0,0,0.0,-0.0,-0.0,0,0,0,0,0,0,0,300,300,300,300,2100,0.014,1,True
0.817,0,0,0,0.0,-0.0,-0.0,0,0,0,0,0,0,0,300,300,300,300,2200,0.016,1,True
0.832,0,0,0,0.0,-0.0,-0.0,0,0,0,0,0,0,0,300,300,300,300,2300,0.014,1,True
0.851,0,0,0,0.0,-0.0,-0.0,0,0,0,0,0,0,0,301,300,300,300,2400,0.015,1,True
0.866,0,0,0,0.0,-0.0,0.0,0,0,0,0,0,0,0,300,300,300,300,2500,0.019,1,True
0.88,0,0,0,0.0,-0.0,0.0,0,0,0,0,0,0,0,301,300,300,300,2600,0.015,1,True
0.892,0,0,0,0.0,-0.0,0.0,0,0,0,0,0,0,0,301,300,300,300,2700,0.014,1,True
0.906,0,0,0,0.0,-0.0,0.0,0,0,0,0,0,0,0,301,300,300,300,2800,0.012,1,True
