Time,Teacher-x,Teacher-y,Teacher-z,Student-x,Student-y,Student-z,Difference-x,Difference-y,Difference-z,Intensity,Angle
0.018,0.0,0.0,0.0,0.004,0.0,-0.001,0.003,0.0,-0.001,0,0
0.036,0.0,0.0,-0.0,0.007,0.001,-0.002,0.007,0.001,-0.002,0,0
0.055,0.0,0.0,-0.0,0.011,0.002,-0.004,0.011,0.002,-0.004,0,0
0.075,0.0,0.0,-0.0,0.014,0.004,-0.006,0.014,0.004,-0.005,0,0
0.114,0.0,0.0,-0.0,0.021,0.007,-0.009,0.021,0.007,-0.009,0,0
0.135,0.0,-0.0,-0.0,0.025,0.009,-0.011,0.025,0.009,-0.011,0,0
0.151,0.0,-0.0,0.0,0.029,0.011,-0.013,0.029,0.011,-0.013,0,0
0.169,0.0,0.0,0.0,0.033,0.015,-0.016,0.033,0.015,-0.016,0,0
0.193,0.0,0.0,0.0,0.038,0.019,-0.019,0.038,0.019,-0.019,0,0
0.216,-0.0,0.0,-0.0,0.045,0.027,-0.024,0.045,0.026,-0.024,0,0
0.233,-0.0,0.0,-0.0,0.05,0.032,-0.029,0.05,0.032,-0.029,0,0
0.249,-0.0,0.0,-0.0,0.053,0.036,-0.032,0.053,0.036,-0.032,0,0
0.284,-0.0,0.0,-0.0,0.06,0.047,-0.04,0.06,0.047,-0.04,0,0
0.303,-0.0,0.0,-0.0,0.064,0.054,-0.045,0.064,0.054,-0.045,0,0
0.34,-0.0,0.0,-0.0,0.067,0.064,-0.052,0.068,0.064,-0.052,0,0
0.36,-0.0,0.0,-0.0,0.07,0.07,-0.055,0.07,0.069,-0.055,0,0
0.376,-0.0,0.0,-0.0,0.072,0.076,-0.059,0.073,0.076,-0.059,0,0
0.395,-0.0,0.0,-0.0,0.075,0.083,-0.063,0.076,0.083,-0.062,0,0
0.412,-0.0,0.0,-0.0,0.078,0.091,-0.066,0.079,0.09,-0.066,0,0
0.429,-0.0,0.0,-0.0,0.081,0.098,-0.069,0.081,0.098,-0.069,0,0
0.449,-0.0,0.0,-0.0,0.083,0.104,-0.072,0.083,0.104,-0.071,0,0
0.466,-0.0,0.0,-0.0,0.086,0.112,-0.074,0.086,0.112,-0.074,0,0
0.482,-0.0,0.0,-0.0,0.088,0.119,-0.077,0.088,0.119,-0.076,0,0
0.503,-0.0,0.0,0.0,0.091,0.126,-0.078,0.091,0.126,-0.078,0,0
0.52,-0.0,0.0,-0.0,0.093,0.132,-0.08,0.093,0.132,-0.08,0.168,6.28
0.541,-0.0,0.0,-0.0,0.095,0.137,-0.081,0.095,0.137,-0.081,0.174,6.28
0.562,-0.0,0.0,-0.0,0.096,0.143,-0.083,0.096,0.143,-0.083,0.182,6.28
0.581,-0.0,0.0,-0.0,0.097,0.147,-0.084,0.097,0.146,-0.084,0.187,6.28
0.598,-0.0,0.0,-0.0,0.097,0.15,-0.085,0.097,0.15,-0.085,0.191,6.28
0.619,-0.0,0.0,-0.0,0.096,0.153,-0.086,0.096,0.152,-0.086,0.194,6.28
0.641,-0.0,0.0,-0.0,0.094,0.155,-0.087,0.094,0.155,-0.087,0.197,6.28
0.659,-0.0,0.0,-0.0,0.092,0.157,-0.088,0.093,0.157,-0.088,0.199,6.28
