Time,Teacher-x,Teacher-y,Teacher-z,Student-x,Student-y,Student-z,Difference-x,Difference-y,Difference-z,Teacher Intensity,Student Intensity,Angle Teacher,Angle Student,Ball-x,Ball-y,Target-x,Target-y,Score,Target Duration,Training Mode,Is Testing Boolean
0.03,-0.0,0.0,0.0,0.002,0.002,0.001,0.002,0.001,0.002,0,0,0,0,297,298,300,300,0,0,2,True
0.053,-0.0,0.0,0.0,0.002,0.002,0.001,0.002,0.001,0.002,0,0,0,0,297,298,300,300,0,0,2,True
0.073,-0.0,0.0,0.0,0.002,0.002,0.001,0.002,0.001,0.002,0,0,0,0,297,298,300,300,0,0,2,True
0.096,-0.0,0.0,0.0,0.002,0.002,0.001,0.002,0.001,0.002,0,0,0,0,297,298,300,300,0,0,2,True
0.121,-0.0,0.0,0.0,0.002,0.002,0.001,0.002,0.001,0.002,0,0,0,0,297,298,300,300,0,0,2,True
0.14,-0.0,0.0,0.0,0.002,0.002,0.001,0.002,0.001,0.002,0,0,0,0,297,298,300,300,0,0,2,True
0.158,-0.0,0.0,0.0,0.002,0.002,0.001,0.002,0.001,0.002,0,0,0,0,297,298,300,300,0,0,2,True
0.178,-0.0,0.0,0.0,0.002,0.002,0.002,0.002,0.001,0.002,0,0,0,0,297,298,300,300,0,0,2,True
0.199,-0.0,0.0,0.0,0.002,0.002,0.001,0.002,0.001,0.002,0,0,0,0,297,298,300,300,0,0,2,True
0.234,-0.0,0.0,0.0,0.002,0.002,0.001,0.002,0.001,0.002,0,0,0,0,297,298,300,300,0,0,2,True
0.277,-0.0,0.0,0.0,0.002,0.002,0.001,0.002,0.001,0.002,0,0,0,0,296,299,300,300,0,0,2,True
0.296,-0.0,0.0,0.0,0.002,0.002,0.001,0.002,0.0,0.002,0,0,0,0,297,299,300,300,0,0,2,True
0.318,-0.0,0.0,0.0,0.002,0.002,0.0,0.002,0.0,0.002,0,0,0,0,297,299,300,300,0,0,2,True
0.339,-0.0,0.0,-0.0,0.002,0.002,0.0,0.002,-0.0,0.002,0,0,0,0,297,300,300,300,0,0,2,True
0.365,-0.0,0.0,-0.0,0.002,0.002,-0.0,0.002,-0.001,0.002,0,0,0,0,297,301,300,300,0,0,2,True
0.412,-0.0,0.0,-0.0,0.003,0.003,-0.001,0.003,-0.001,0.003,0,0,0,0,296,301,300,300,0,0,2,True
0.453,0.0,0.0,-0.0,0.003,0.003,-0.001,0.003,-0.001,0.003,0,0,0,0,296,301,300,300,0,0,2,True
0.477,0.0,0.0,-0.0,0.002,0.003,-0.001,0.002,-0.001,0.003,0,0,0,0,296,301,300,300,0,0,2,True
0.519,0.0,0.0,-0.0,0.002,0.002,-0.001,0.002,-0.001,0.002,0,0,0,0,296,301,300,300,0,0,2,True
0.541,0.0,0.0,-0.0,0.002,0.002,-0.0,0.002,-0.001,0.002,0,0,0,0,297,301,300,300,100,0.519,2,True
0.568,0.0,0.0,-0.0,0.002,0.002,-0.0,0.002,-0.001,0.002,0,0,0,0,297,300,300,300,200,0.022,2,True
0.599,0.0,0.0,-0.0,0.002,0.003,-0.0,0.002,-0.001,0.003,0,0,0,0,296,301,300,300,300,0.028,2,True
0.642,-0.0,0.0,-0.0,0.002,0.003,-0.001,0.002,-0.001,0.003,0,0,0,0,296,301,300,300,400,0.03,2,True
0.665,-0.0,0.0,-0.0,0.002,0.003,-0.001,0.002,-0.001,0.003,0,0,0,0,296,301,300,300,500,0.043,2,True
