Time,Teacher-x,Teacher-y,Teacher-z,Student-x,Student-y,Student-z,Difference-x,Difference-y,Difference-z,Teacher Intensity,Student Intensity,Angle Teacher,Angle Student,Ball-x,Ball-y,Target-x,Target-y,Target Number,Score,Target Duration,Training Mode,Is Testing Boolean
0.076,0.001,-0.001,-0.002,0.001,-0.001,-0.001,0.0,0.001,0.0,0.0,0.0,0,0,301,303,300,300,0,0,0,3,False
0.1,0.001,-0.001,-0.002,0.001,-0.001,-0.001,0.0,0.001,-0.0,0.0,0.0,0,0,301,303,300,300,0,0,0,3,False
0.123,0.001,-0.001,-0.002,0.001,-0.001,-0.001,0.0,0.001,0.0,0.0,0.0,0,0,301,303,300,300,0,0,0,3,False
0.138,0.001,-0.001,-0.002,0.001,-0.001,-0.001,0.0,0.001,0.0,0.0,0.0,0,0,301,303,300,300,0,0,0,3,False
0.158,0.001,-0.001,-0.002,0.001,-0.001,-0.001,0.0,0.001,0.0,0.0,0.0,0,0,301,303,300,300,0,0,0,3,False
0.177,0.001,-0.001,-0.002,0.001,-0.001,-0.001,0.0,0.001,0.0,0.0,0.0,0,0,301,303,300,300,0,0,0,3,False
0.194,0.001,-0.001,-0.002,0.001,-0.001,-0.001,0.0,0.001,0.0,0.0,0.0,0,0,301,303,300,300,0,0,0,3,False
0.216,0.001,-0.001,-0.002,0.001,-0.001,-0.001,0.0,0.001,0.0,0.0,0.0,0,0,301,303,300,300,0,0,0,3,False
0.235,0.001,-0.001,-0.002,0.001,-0.001,-0.001,0.0,0.001,0.0,0.0,0.0,0,0,301,303,300,300,0,0,0,3,False
0.256,0.001,-0.001,-0.002,0.001,-0.001,-0.001,0.0,0.001,0.0,0.0,0.0,0,0,301,303,300,300,0,0,0,3,False
0.277,0.001,-0.001,-0.002,0.001,-0.001,-0.001,0.0,0.001,0.0,0.0,0.0,0,0,301,303,300,300,0,0,0,3,False
0.301,0.001,-0.001,-0.002,0.001,-0.001,-0.001,0.0,0.001,0.0,0.0,0.0,0,0,301,303,300,300,0,0,0,3,False
0.324,0.001,-0.001,-0.002,0.001,-0.001,-0.001,0.0,0.001,0.0,0.0,0.0,0,0,301,303,300,300,0,0,0,3,False
0.346,0.001,-0.001,-0.002,0.001,-0.001,-0.001,0.0,0.001,0.0,0.0,0.0,0,0,301,303,300,300,0,0,0,3,False
0.366,0.001,-0.001,-0.002,0.001,-0.001,-0.001,0.0,0.001,0.0,0.0,0.0,0,0,301,303,300,300,0,0,0,3,False
0.396,0.001,-0.001,-0.002,0.001,-0.001,-0.001,0.0,0.001,0.0,0.0,0.0,0,0,301,303,300,300,0,0,0,3,False
0.419,0.001,-0.001,-0.002,0.001,-0.0,-0.001,0.0,0.001,0.0,0.0,0.0,0,0,301,303,300,300,0,0,0,3,False
0.44,0.0,-0.001,-0.002,0.001,-0.001,-0.001,0.0,0.001,0.0,0.0,0.0,0,0,301,303,300,300,0,0,0,3,False
0.465,0.0,-0.001,-0.002,0.001,-0.0,-0.001,0.0,0.001,0.0,0.0,0.0,0,0,301,303,300,300,0,0,0,3,False
0.484,0.0,-0.001,-0.002,0.001,-0.0,-0.001,0.0,0.001,0.0,0.0,0.0,0,0,301,303,300,300,0,0,0,3,False
0.504,0.0,-0.001,-0.002,0.001,-0.0,-0.001,0.0,0.001,0.0,0.0,0.0,0,0,301,303,300,300,0,0,0,3,False
0.525,0.0,-0.001,-0.002,0.001,-0.0,-0.001,0.0,0.001,0.0,0.0,0.0,0,0,301,303,300,300,0,0,0,3,False
0.546,0.0,-0.001,-0.002,0.001,-0.0,-0.001,0.0,0.001,0.0,0.0,0.0,0,0,301,303,300,300,0,0,0,3,False
0.575,0.0,-0.001,-0.002,0.001,-0.0,-0.001,0.0,0.001,0.0,0.0,0.0,0,0,301,303,300,300,0,100,0.546,3,False
0.604,0.0,-0.001,-0.002,0.001,-0.0,-0.001,0.0,0.001,0.0,0.0,0.0,0,0,301,303,300,300,0,200,0.029,3,False
0.629,0.0,-0.001,-0.002,0.001,-0.0,-0.001,0.0,0.001,0.0,0.0,0.0,0,0,301,303,300,300,0,300,0.028,3,False
0.657,0.0,-0.001,-0.002,0.001,-0.0,-0.001,0.0,0.001,0.0,0.0,0.0,0,0,301,303,300,300,0,400,0.025,3,False
0.683,0.0,-0.001,-0.002,0.001,-0.0,-0.001,0.0,0.001,0.0,0.0,0.0,0,0,301,303,300,300,0,500,0.028,3,False
0.711,0.0,-0.001,-0.002,0.001,-0.0,-0.001,0.0,0.001,0.0,0.0,0.0,0,0,301,303,300,300,0,600,0.026,3,False
0.741,0.0,-0.001,-0.002,0.001,-0.0,-0.001,0.0,0.001,0.0,0.0,0.0,0,0,301,303,300,300,0,700,0.027,3,False
0.766,0.0,-0.001,-0.002,0.001,-0.0,-0.001,0.0,0.001,0.0,0.0,0.0,0,0,301,303,300,300,0,800,0.03,3,False
0.816,0.0,-0.001,-0.002,0.001,-0.0,-0.001,0.0,0.001,0.0,0.0,0.0,0,0,301,302,300,300,0,900,0.027,3,False
0.847,0.0,-0.001,-0.002,0.001,-0.0,-0.001,0.0,0.001,0.0,0.0,0.0,0,0,301,302,300,300,0,1000,0.048,3,False
0.877,0.0,-0.001,-0.002,0.001,-0.0,-0.001,0.0,0.001,0.0,0.0,0.0,0,0,301,302,300,300,0,1100,0.031,3,False
