Time,Teacher-x,Teacher-y,Teacher-z,Student-x,Student-y,Student-z,Difference-x,Difference-y,Difference-z,Intensity,Angle
0.018,0.0,-0.0,-0.0,0.001,-0.0,0.001,0.001,-0.0,0.001,0,0
0.037,0.0,-0.0,-0.0,0.001,-0.0,0.001,0.001,-0.0,0.001,0,0
0.056,0.0,0.0,0.0,0.001,-0.0,0.001,0.001,-0.0,0.001,0,0
0.071,-0.0,0.0,-0.0,0.001,-0.0,0.001,0.001,-0.001,0.001,0,0
0.087,-0.0,0.0,-0.0,0.001,-0.0,0.001,0.001,-0.001,0.002,0,0
0.102,-0.0,0.001,-0.0,0.001,-0.0,0.001,0.001,-0.001,0.002,0,0
0.118,-0.0,0.001,-0.0,0.001,-0.0,0.001,0.001,-0.001,0.002,0,0
0.136,-0.0,0.001,-0.0,0.001,-0.001,0.002,0.001,-0.002,0.002,0,0
0.157,-0.0,0.001,-0.0,0.001,-0.001,0.002,0.001,-0.002,0.002,0,0
0.173,-0.0,0.001,-0.0,0.001,-0.001,0.002,0.001,-0.002,0.002,0,0
0.19,-0.001,0.002,-0.0,0.001,-0.001,0.002,0.001,-0.002,0.002,0,0
0.214,-0.001,0.002,-0.0,0.001,-0.001,0.002,0.001,-0.003,0.002,0,0
0.44,-0.0,0.002,-0.0,0.0,-0.002,0.002,0.001,-0.004,0.003,0,0
0.456,-0.0,0.004,-0.0,0.0,-0.002,0.002,0.001,-0.007,0.003,0,0
0.477,-0.0,0.005,-0.0,0.0,-0.002,0.002,0.0,-0.007,0.003,0,0
0.499,0.0,0.005,-0.0,0.0,-0.003,0.002,0.0,-0.007,0.003,0,0
0.514,0.0,0.005,-0.0,0.0,-0.003,0.002,0.0,-0.007,0.003,0,0
0.531,0.0,0.005,-0.0,0.0,-0.003,0.002,0.0,-0.007,0.003,0,0
0.55,0.0,0.005,-0.0,0.0,-0.003,0.002,0.0,-0.008,0.002,0,0
0.569,0.0,0.005,0.0,0.0,-0.003,0.002,0.0,-0.008,0.002,0,0
0.587,0.0,0.005,0.0,0.0,-0.003,0.002,0.0,-0.008,0.002,0,0
0.605,0.0,0.005,0.0,0.0,-0.003,0.003,-0.0,-0.008,0.003,0,0
0.625,0.0,0.005,-0.0,0.0,-0.003,0.002,0.0,-0.008,0.003,0,0
0.665,0.0,0.005,-0.0,0.0,-0.003,0.003,0.0,-0.008,0.003,0,0
0.685,0.0,0.005,-0.0,0.0,-0.003,0.003,0.0,-0.008,0.003,0,0
0.703,-0.0,0.005,-0.0,0.0,-0.003,0.003,0.0,-0.008,0.003,0,0
0.718,-0.0,0.005,-0.0,0.0,-0.004,0.003,0.0,-0.008,0.003,0,0
