Time,Teacher-x,Teacher-y,Teacher-z,Student-x,Student-y,Student-z,Difference-x,Difference-y,Difference-z,Intensity,Angle Teacher,Angle Student,Ball-x,Ball-y,Target-x,Target-y,Score,
0.024,-0.001,-0.001,-0.001,0,0,0,0.001,0,0.001,0,0,0,325,325,520,325,0,1
0.044,-0.002,-0.001,-0.001,0,0,0,0.002,0.001,0.001,0,0,0,325,325,520,325,0,
0.067,-0.003,-0.002,-0.002,0,0,0,0.003,0.002,0.001,0,0,0,325,325,520,325,0,
0.087,-0.004,-0.002,-0.002,0,0,-0.001,0.004,0.002,0.002,0,0,0,325,325,520,325,0,
0.108,-0.005,-0.002,-0.003,0,0,-0.001,0.005,0.002,0.002,0,0,0,325,325,520,325,0,
0.127,-0.005,-0.002,-0.003,0,0,-0.001,0.005,0.002,0.002,0,0,0,325,325,520,325,0,
0.147,-0.006,-0.003,-0.003,0,0,-0.001,0.006,0.003,0.002,0,0,0,325,325,520,325,0,
0.169,-0.007,-0.003,-0.003,0,0,-0.001,0.006,0.003,0.003,0,0,0,325,325,520,325,0,
0.211,-0.007,-0.003,-0.004,0,0,-0.001,0.007,0.004,0.003,0,0,0,325,325,520,325,0,
0.229,-0.008,-0.003,-0.004,0,0.001,-0.001,0.008,0.004,0.002,0,0,0,325,325,520,325,0,
0.244,-0.008,-0.003,-0.004,0,0.001,-0.002,0.009,0.004,0.002,0,0,0,325,325,520,325,0,
0.266,-0.009,-0.003,-0.004,0,0.001,-0.002,0.009,0.005,0.002,0,0,0,325,325,520,325,0,
0.283,-0.009,-0.003,-0.004,0.001,0.002,-0.003,0.009,0.005,0.001,0,0,0,325,325,520,325,0,
0.304,-0.009,-0.003,-0.004,0.001,0.003,-0.004,0.01,0.006,0,0,0,0,325,325,520,325,0,
0.324,-0.009,-0.003,-0.004,0.001,0.003,-0.004,0.01,0.006,0,0,0,0,325,325,520,325,0,
0.344,-0.009,-0.003,-0.004,0.001,0.003,-0.006,0.01,0.006,-0.002,0,0,0,325,325,520,325,0,
0.369,-0.009,-0.003,-0.004,0.001,0.003,-0.008,0.01,0.006,-0.004,0,0,0,325,325,520,325,0,
0.388,-0.009,-0.003,-0.004,0.001,0.004,-0.009,0.01,0.007,-0.006,0,0,0,325,325,520,325,0,
0.411,-0.01,-0.003,-0.004,0.001,0.004,-0.01,0.01,0.007,-0.006,0,0,0,325,325,520,325,0,
