Time,Teacher-x,Teacher-y,Teacher-z,Student-x,Student-y,Student-z,Difference-x,Difference-y,Difference-z,Teacher Intensity,Student Intensity,Angle Teacher,Angle Student,Ball-x,Ball-y,Target-x,Target-y,Score,Target Duration,Training Mode,Round Type
0.016,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,300,300,173,427,0,0,1,1
0.025,0,0,0,0.0,-0.0,0.0,0,0,0,0,0,0,0,300,300,173,427,0,0,1,1
0.033,0,0,0,0.0,-0.0,0.0,0,0,0,0,0,0,0,300,300,173,427,0,0,1,1
0.043,0,0,0,0.0,-0.0,0.0,0,0,0,0,0,0,0,300,300,173,427,0,0,1,1
0.055,0,0,0,0.0,-0.0,0.0,0,0,0,0,0,0,0,300,300,173,427,0,0,1,1
0.066,0,0,0,0.0,-0.0,0.0,0,0,0,0,0,0,0,300,300,173,427,0,0,1,1
0.074,0,0,0,0.0,-0.0,0.0,0,0,0,0,0,0,0,300,300,173,427,0,0,1,1
0.084,0,0,0,0.0,-0.0,0.0,0,0,0,0,0,0,0,300,300,173,427,0,0,1,1
0.093,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,300,300,173,427,0,0,1,1
0.103,0,0,0,0.001,0.0,0.0,0,0,0,0,0,0,0,300,300,173,427,0,0,1,1
0.113,0,0,0,0.001,0.0,0.0,0,0,0,0,0,0,0,300,300,173,427,0,0,1,1
0.121,0,0,0,0.001,0.0,0.0,0,0,0,0,0,0,0,300,300,173,427,0,0,1,1
0.133,0,0,0,0.001,0.0,0.0,0,0,0,0,0,0,0,300,300,173,427,0,0,1,1
0.148,0,0,0,0.001,0.0,0.0,0,0,0,0,0,0,0,300,300,173,427,0,0,1,1
0.158,0,0,0,0.001,0.0,0.0,0,0,0,0,0,0,0,300,300,173,427,0,0,1,1
0.17,0,0,0,0.001,0.0,0.0,0,0,0,0,0,0,0,300,300,173,427,0,0,1,1
0.18,0,0,0,0.001,0.0,0.0,0,0,0,0,0,0,0,300,300,173,427,0,0,1,1
0.188,0,0,0,0.001,0.0,0.0,0,0,0,0,0,0,0,300,300,173,427,0,0,1,1
0.196,0,0,0,0.001,0.0,0.0,0,0,0,0,0,0,0,300,300,173,427,0,0,1,1
0.205,0,0,0,0.001,0.0,0.0,0,0,0,0,0,0,0,300,300,173,427,0,0,1,1
0.214,0,0,0,0.001,0.0,0.0,0,0,0,0,0,0,0,300,300,173,427,0,0,1,1
0.222,0,0,0,0.001,0.0,0.0,0,0,0,0,0,0,0,300,300,173,427,0,0,1,1
0.233,0,0,0,0.001,0.0,0.0,0,0,0,0,0,0,0,300,300,173,427,0,0,1,1
0.243,0,0,0,0.001,0.0,0.0,0,0,0,0,0,0,0,300,300,173,427,0,0,1,1
0.256,0,0,0,0.001,0.0,0.0,0,0,0,0,0,0,0,300,300,173,427,0,0,1,1
0.267,0,0,0,0.001,0.0,0.0,0,0,0,0,0,0,0,300,300,173,427,0,0,1,1
0.275,0,0,0,0.001,0.0,0.0,0,0,0,0,0,0,0,300,300,173,427,0,0,1,1
0.288,0,0,0,0.001,0.0,0.0,0,0,0,0,0,0,0,300,300,173,427,0,0,1,1
0.296,0,0,0,0.001,0.0,0.0,0,0,0,0,0,0,0,300,300,173,427,0,0,1,1
0.304,0,0,0,0.001,0.0,0.0,0,0,0,0,0,0,0,300,300,173,427,0,0,1,1
0.312,0,0,0,0.001,0.0,0.0,0,0,0,0,0,0,0,300,300,173,427,0,0,1,1
0.321,0,0,0,0.001,0.0,0.0,0,0,0,0,0,0,0,300,300,173,427,0,0,1,1
0.332,0,0,0,0.001,0.0,0.0,0,0,0,0,0,0,0,300,300,173,427,0,0,1,1
0.343,0,0,0,0.001,0.0,0.0,0,0,0,0,0,0,0,300,300,173,427,0,0,1,1
0.353,0,0,0,0.001,0.0,0.0,0,0,0,0,0,0,0,300,300,173,427,0,0,1,1
0.363,0,0,0,0.001,0.0,0.0,0,0,0,0,0,0,0,300,300,173,427,0,0,1,1
0.372,0,0,0,0.001,0.0,0.0,0,0,0,0,0,0,0,300,300,173,427,0,0,1,1
0.382,0,0,0,0.001,0.0,0.0,0,0,0,0,0,0,0,300,300,173,427,0,0,1,1
0.391,0,0,0,0.001,0.0,0.0,0,0,0,0,0,0,0,300,300,173,427,0,0,1,1
0.402,0,0,0,0.001,0.0,0.0,0,0,0,0,0,0,0,300,300,173,427,0,0,1,1
0.414,0,0,0,0.001,0.0,0.0,0,0,0,0,0,0,0,300,300,173,427,0,0,1,1
