Time,Teacher-x,Teacher-y,Teacher-z,Student-x,Student-y,Student-z,Difference-x,Difference-y,Difference-z,Intensity,Angle
0.018,0.003,-0.006,-0.004,-0.0,-0.0,0.0,-0.003,0.006,0.005,0,0
0.036,0.003,-0.006,-0.005,-0.0,-0.0,0.0,-0.003,0.006,0.005,0,0
0.054,0.004,-0.006,-0.005,-0.0,-0.0,0.0,-0.004,0.006,0.005,0,0
0.07,0.004,-0.007,-0.005,0.0,-0.0,0.0,-0.004,0.007,0.006,0,0
0.089,0.004,-0.007,-0.006,0.0,-0.0,0.0,-0.004,0.007,0.006,0,0
0.106,0.004,-0.006,-0.007,0.0,-0.0,0.0,-0.004,0.006,0.007,0,0
0.124,0.004,-0.005,-0.008,0.0,-0.0,0.0,-0.004,0.005,0.009,0,0
0.143,0.003,-0.004,-0.009,0.0,-0.0,0.0,-0.003,0.004,0.009,0,0
0.164,0.003,-0.003,-0.01,0.0,-0.0,0.0,-0.003,0.003,0.011,0,0
0.182,0.002,-0.001,-0.012,0.0,-0.0,0.0,-0.002,0.001,0.013,0,0
0.221,0.002,-0.001,-0.014,0.0,-0.0,0.001,-0.002,0.001,0.014,0,0
0.238,0.0,0.0,-0.017,0.0,-0.0,0.0,-0.0,-0.0,0.018,0,0
0.258,-0.001,0.0,-0.019,0.0,-0.0,0.001,0.001,-0.0,0.019,0,0
0.277,-0.002,0.001,-0.02,0.0,-0.0,0.0,0.002,-0.001,0.021,0,0
0.296,-0.003,0.001,-0.021,0.0,-0.0,0.001,0.003,-0.001,0.022,0,0
0.321,-0.004,0.001,-0.022,0.0,-0.0,0.001,0.004,-0.001,0.023,0,0
0.341,-0.006,0.001,-0.025,0.0,-0.0,0.001,0.006,-0.001,0.025,0,0
0.355,-0.007,0.001,-0.025,0.0,-0.0,0.001,0.007,-0.001,0.026,0,0
0.37,-0.007,0.001,-0.025,0.0,-0.0,0.001,0.007,-0.002,0.026,0,0
0.39,-0.008,0.001,-0.025,0.0,-0.0,0.001,0.008,-0.001,0.026,0,0
0.414,-0.008,0.0,-0.027,0.0,-0.0,0.001,0.009,-0.0,0.027,0,0
0.432,-0.009,-0.001,-0.027,0.0,-0.0,0.001,0.009,0.001,0.027,0,0
0.448,-0.009,-0.002,-0.027,0.0,-0.0,0.001,0.01,0.002,0.027,0,0
0.465,-0.01,-0.003,-0.028,0.0,-0.0,0.001,0.011,0.002,0.029,0,0
0.483,-0.011,-0.002,-0.03,0.0,-0.0,0.001,0.011,0.002,0.031,0,0
0.501,-0.012,-0.001,-0.031,0.0,-0.0,0.001,0.012,0.0,0.031,0,0
0.541,-0.012,-0.0,-0.029,0.001,-0.0,0.001,0.012,0.0,0.03,0,0
0.56,-0.011,-0.001,-0.029,0.001,-0.0,0.001,0.012,0.001,0.029,0,0
0.579,-0.011,-0.001,-0.028,0.001,-0.0,0.001,0.012,0.001,0.029,0,0
0.596,-0.011,0.0,-0.027,0.001,-0.0,0.001,0.012,-0.001,0.028,0,0
0.614,-0.011,0.0,-0.026,0.001,-0.0,0.001,0.011,-0.001,0.027,0,0
0.654,-0.008,-0.002,-0.023,0.001,-0.0,0.001,0.009,0.002,0.024,0,0
0.673,-0.007,-0.003,-0.022,0.001,-0.0,0.001,0.008,0.003,0.023,0,0
0.693,-0.007,-0.003,-0.022,0.001,-0.0,0.001,0.008,0.003,0.023,0,0
0.712,-0.006,-0.003,-0.023,0.001,-0.0,0.001,0.007,0.002,0.023,0,0
0.734,-0.005,-0.002,-0.022,0.001,-0.0,0.001,0.006,0.001,0.023,0,0
0.751,-0.004,-0.002,-0.019,0.001,-0.0,0.001,0.005,0.002,0.02,0,0
0.773,-0.004,-0.005,-0.016,0.001,-0.0,0.001,0.004,0.004,0.017,0,0
0.79,-0.003,-0.006,-0.016,0.001,-0.0,0.001,0.004,0.006,0.016,0,0
0.808,-0.004,-0.006,-0.016,0.001,-0.0,0.001,0.005,0.006,0.017,0,0
0.829,-0.005,-0.005,-0.016,0.001,-0.0,0.001,0.005,0.004,0.017,0,0
0.847,-0.006,-0.003,-0.017,0.001,-0.0,0.001,0.007,0.003,0.018,0,0
0.865,-0.007,-0.002,-0.018,0.001,-0.0,0.001,0.007,0.002,0.019,0,0
0.882,-0.007,-0.002,-0.018,0.001,-0.0,0.001,0.008,0.001,0.019,0,0
0.903,-0.007,-0.002,-0.018,0.001,-0.0,0.001,0.008,0.002,0.019,0,0
0.92,-0.007,-0.003,-0.018,0.001,-0.0,0.001,0.008,0.003,0.019,0,0
0.935,-0.007,-0.004,-0.019,0.001,-0.0,0.001,0.008,0.004,0.02,0,0
0.955,-0.007,-0.004,-0.019,0.001,-0.0,0.001,0.008,0.004,0.019,0,0
0.976,-0.008,-0.005,-0.018,0.001,-0.0,0.001,0.008,0.004,0.019,0,0
0.995,-0.008,-0.004,-0.018,0.001,-0.0,0.001,0.009,0.004,0.019,0,0
1.012,-0.008,-0.003,-0.018,0.001,-0.0,0.001,0.009,0.003,0.019,0,0
1.033,-0.008,-0.001,-0.017,0.001,-0.0,0.001,0.009,0.001,0.018,0,0
1.069,-0.006,-0.002,-0.014,0.001,-0.0,0.001,0.007,0.002,0.015,0,0
1.085,-0.006,-0.003,-0.014,0.001,-0.0,0.001,0.006,0.003,0.015,0,0
1.1,-0.005,-0.004,-0.014,0.001,-0.0,0.001,0.006,0.004,0.015,0,0
1.117,-0.005,-0.004,-0.014,0.001,-0.0,0.001,0.006,0.004,0.015,0,0
1.137,-0.004,-0.005,-0.013,0.001,-0.0,0.001,0.005,0.005,0.014,0,0
1.158,-0.005,-0.005,-0.013,0.001,-0.0,0.001,0.005,0.005,0.014,0,0
1.178,-0.006,-0.004,-0.012,0.001,-0.0,0.001,0.006,0.004,0.013,0,0
1.204,-0.006,-0.002,-0.013,0.001,-0.0,0.001,0.007,0.002,0.014,0,0
1.222,-0.006,-0.002,-0.014,0.001,-0.0,0.001,0.006,0.002,0.015,0,0
1.242,-0.005,-0.003,-0.014,0.001,-0.0,0.001,0.006,0.002,0.015,0,0
1.26,-0.006,-0.003,-0.014,0.001,-0.0,0.001,0.007,0.003,0.015,0,0
1.278,-0.006,-0.003,-0.014,0.001,-0.0,0.001,0.007,0.003,0.015,0,0
1.297,-0.006,-0.002,-0.014,0.001,-0.0,0.001,0.007,0.002,0.015,0,0
1.315,-0.006,-0.002,-0.014,0.001,-0.0,0.001,0.007,0.002,0.015,0,0
1.331,-0.007,-0.002,-0.014,0.001,-0.0,0.001,0.008,0.002,0.015,0,0
1.356,-0.007,-0.003,-0.014,0.001,-0.0,0.001,0.008,0.002,0.015,0,0
1.372,-0.007,-0.003,-0.014,0.001,-0.0,0.001,0.008,0.003,0.015,0,0
1.388,-0.007,-0.003,-0.013,0.001,-0.0,0.001,0.008,0.003,0.014,0,0
1.408,-0.007,-0.003,-0.011,0.001,-0.0,0.001,0.008,0.003,0.013,0,0
